Cod Forn	Item	Unid	Qtde	DESCRIÇÃO	Vlr.Unit.	Vlr.Total	DATA EMISSÃO	Nº Cotação:	Cond. Pagto	TIPO	Posto	Prazo	Validade	Status Pedido	Estoque	observação	Nota Fornecedor
2008	6	PC 	4	Broca widia 10 - Vonder 	6.45	25.8	40491	26	35 dias 	DDL	CIF	5 dias 	10 dias 	Concluido	Sim		
2008	7	PC	4	Broca widia 12 - Vonder	14.9	59.6	40491	26	35 dias 	DDL	CIF	5 dias 	10 dias 	Concluido	Não		
2029	1	Pc	1	Bomba centrifuga 3 cv	1495	1495	40491	27	30	DDL	CIF	10 dias	5 dias	Preço desacordo	Não		
2029	2	Pc	1	Manometro 0 a 16 kg/f	59.6	59.6	40491	27	30	DDL	CIF	10 dias	5 dias	Preço desacordo	Não		
2005	1	JG	1	Cossinetes p/ tarraxa Ridgid - 1/2 NPT 	135	135	40491	28	Prazo 	DDL	CIF	Imediato 	10 dias 	Concluido	Sim		
2005	2	JG	1	Cossinetes p/ tarraxa Ridgid - 3/4 NPT 	135	135	40491	28	Prazo 	DDL	CIF	Imediato 	10 dias 	Concluido	Sim		
2005	3	JG	1	"Extrator de parafusos 1/8 a 1"" "	32.5	32.5	40491	28	Prazo 	DDL	CIF	Imediato 	10 dias 	Concluido	Sim		
2005	4	PC	1	"Vira macho reto 1"" - Heinz "	55	55	40491	28	Prazo 	DDL	CIF	Imediato 	10 dias 	Concluido	Sim		
2005	5	JG	1	Alicate prensa terminal AT-10 - Intelli	97	97	40491	28	Prazo 	DDL	CIF	Imediato 	10 dias 	Concluido	Sim		
2009	1	PC	10	Chave de grifo nº 10 - modelo americano 1º linha - Stanley	42.1	421	40491	29	28 dias 	DDL	CIF	10 dias 	10 dias 	Concluido	Não		
2013	1	PC	1	"Propulsora Pneumática p/ graxa adaptável em balde de 20 KG c/ rosca de entrada de ar de 1/4 NPT, e saída de lubrificante de 3/8 NPT. Pressão de trabalho 6 BAR, Vazão 500g/min graxa c/ saida livre. Peso 7 KG"	1790	1790	40549	30	30	DDL	CIF	Imediato a 15 Dias	5 Dias	Preço desacordo			
2013	2	PC	1	Engraxadeira Manual 7 KG 	143.9	143.9	40549	30	30	DDL	CIF	Imediato a 15 Dias	5 Dias	Preço desacordo			
2013	1	PC	4	Almotolia 250 ml Bico Flexivel	19.5	78	40883	31	30 dias	DDL	CIF	Imediato	5 Dias	Concluido	Sim		
2057	1	PC	1	Chave combinada Robust 10mm	6.9	6.9	40560	32	30 dias	DDL	CIF	Imediato a 10 Dias	5 Dias	Concluido			
2057	2	PC	1	Chave combinada Robust 13mm	6.9	6.9	40560	32	30 dias	DDL	CIF	Imediato a 10 Dias	5 Dias	Concluido			
2057	3	PC	1	Chave combinada Robust 17mm	8.9	8.9	40560	32	30 dias	DDL	CIF	Imediato a 10 Dias	5 Dias	Concluido			
2057	4	PC	1	Chave combinada Robust 19mm	9.9	9.9	40560	32	30 dias	DDL	CIF	Imediato a 10 Dias	5 Dias	Concluido			
2057	5	PC	1	"Chave Ajustavel 8"" Stanley"	20.7	20.7	40560	32	30 dias	DDL	CIF	Imediato a 10 Dias	5 Dias	Concluido			
2057	6	PC	1	"Jogo de chave allen abaluada Gedore de 1,5 a 10mm"	85.2	67.9	40560	32	30 dias	DDL	CIF	Imediato a 10 Dias	5 Dias	Concluido			
2057	7	PC	1	"Chave fenda 1/8 x 3"" Tramontina Pro"	5.9	5.9	40560	32	30 dias	DDL	CIF	Imediato a 10 Dias	5 Dias	Concluido			
2057	8	PC	1	"Chave fenda 1/4 x 6"" Tramontina Pro"	9.9	9.9	40560	32	30 dias	DDL	CIF	Imediato a 10 Dias	5 Dias	Concluido			
2057	9	PC	1	"Alicate Bico de 6"" Stanley"	25.9	25.9	40560	32	30 dias	DDL	CIF	Imediato a 10 Dias	5 Dias	Concluido			
2057	10	PC	1	Cadeado Pado 30mm c/ 5 chaves	18.25	18.25	40560	32	30 dias	DDL	CIF	Imediato a 10 Dias	5 Dias	Concluido			
2057	11	PC	1	Caixa de ferramentas 5 gavetas em Inox Tramontina Pro	827	827	40560	32	30 dias	DDL	CIF	Imediato a 10 Dias	5 Dias	Concluido			
2039	1	PC	1	Jogo de chave Allen abaulada Gedore de 1/16 a 3/8	85.2	85.2	40560	33	30 Dias	DDL	CIF	Imediato a 10 Dias	5 dias	Concluido			
2039	2	PC	4	Nivel c/ base magnetica Stanley	36	144	40560	33	30 Dias	DDL	CIF	Imediato a 10 Dias	5 dias	Concluido			
2057	1	PC	5	Jogo chave combinada Tramontina Pro 6 à 26mm	214.8	1074	40560	34	30 dias	DDL	CIF	Imedato a 10 dias	5 Dias	Fechado Parcial			
2057	2	PC	5	"Jogo de chave allen abaulada Tramontina Pro 1,5 à 10mm"	54.9	274.5	40560	34	30 dias	DDL	CIF	Imedato a 10 dias	5 Dias	Fechado Parcial			
2057	3	PC	5	"Chave ajustavel 10"" Vonder"	24.9	124.5	40560	34	30 dias	DDL	CIF	Imedato a 10 dias	5 Dias	Fechado Parcial			
2057	4	PC	4	Alicate universal Tramontina Pro	24.9	99.6	40560	34	30 dias	DDL	CIF	Imedato a 10 dias	5 Dias	Fechado Parcial			
2057	5	PC	5	Jogo de chave de fenda Tramontina Pro c/ 3 peças	22.9	114.5	40560	34	30 dias	DDL	CIF	Imedato a 10 dias	5 Dias	Fechado Parcial			
2057	6	PC	1	Jogo de soquetes tipo allen de 4 à 17mm c/ catraca 1/2	222.9	222.9	40560	34	30 dias	DDL	CIF	Imedato a 10 dias	5 Dias	Fechado Parcial			
2057	7	PC	1	Engraxadeira Lub 400 7 KG	153.9	153.9	40560	34	30 dias	DDL	CIF	Imedato a 10 dias	5 Dias	Fechado Parcial			
2057	8	PC	5	Bico p/ engraxadeira	9	45	40560	34	30 dias	DDL	CIF	Imedato a 10 dias	5 Dias	Fechado Parcial			
2057	9	PC	1	"Alicate bico 6"" Tramontina Pro"	40.75	40.75	40560	34	30 dias	DDL	CIF	Imedato a 10 dias	5 Dias	Fechado Parcial			
2057	10	PC	4	Caixa Ferramenta Marcom c/ 3 Gavetas	44.9	179.6	40560	34	30 dias	DDL	CIF	Imedato a 10 dias	5 Dias	Fechado Parcial			
2047	1	PC	5	Enxada c/ Cabo	21.4	107	40561	35	30 dias	DDL	CIF	imediato a 7 dias	5 Dias	Concluido			
2047	2	PC	5	Colher de pedreiro	13.4	67	40561	35	30 dias	DDL	CIF	imediato a 7 dias	5 Dias	Concluido			
2047	3	Pc	1	Cavadeira Articulada	23.8	23.8	40561	35	30 dias	DDL	CIF	imediato a 7 dias	5 Dias	Concluido			
2047	4	PC	5	Trena 5 MT Starrett	12	60	40561	35	30 dias	DDL	CIF	imediato a 7 dias	5 Dias	Concluido			
2047	5	PC	5	Martelo de orelha	39.9	199.5	40561	35	30 dias	DDL	CIF	imediato a 7 dias	5 Dias	Concluido			
2047	6	PC	2	Linha de pedreiro 100MT	4.75	9.5	40561	35	30 dias	DDL	CIF	imediato a 7 dias	5 Dias	Concluido			
2047	7	PC	3	Prumo Pedreiro 500GR	22.9	68.7	40561	35	30 dias	DDL	CIF	imediato a 7 dias	5 Dias	Concluido			
2081	1	PC	1	CHAVE 	10	10	40567	36	10 dias 	DDL	CIF	10 dias 	10 dias 	Concluido	Sim		
2009	1	PC	100	Cadeado Pado 20 mm - universal 1 chave 	9.9	990	40570	37	28 dias 	DDL	CIF	40 dias 	10 dias 	Em Aberto	Não		
2009	2	PC	70	Cadeado Pado 35 mm - normal 	11.1	777	40570	37	28 dias 	DDL	CIF	40 dias 	10 dias 	Em Aberto	Não		
2009	3	PC	100	Cadeado Pado 35 mm - universal 1 chave 	16.6	1660	40570	37	28 dias 	DDL	CIF	40 dias 	10 dias 	Em Aberto	Não		
2060	1	Pc	3	Broca aço rápido 4 mm	3.7	11.1	40570	38	30	DDL	CIF	Imediato	5 dias	Concluido	Sim		
2060	2	Pc	3	Broca aço rápido 10 mm	14.9	44.7	40570	38	30	DDL	CIF	Imediato	5 dias	Concluido	Sim		
2060	3	Pc	3	Broca aço rápido 12 mm	23.85	71.55	40570	38	30	DDL	CIF	Imediato	5 dias	Concluido	Sim		
2060	4	Pc	3	Broca widia 8 mm	9.15	24.45	40570	38	30	DDL	CIF	Imediato	5 dias	Concluido	Sim		
2060	5	Pc	3	Broca widia 10 mm	11.9	35.7	40570	38	30	DDL	CIF	Imediato	5 dias	Concluido	Sim		
2060	6	Pc	3	Broca widia 14 mm	19.9	59.7	40570	38	30	DDL	CIF	Imediato	5 dias	Concluido	Sim		
2060	7	Pc	3	Broca widia 16 mm	22.3	66.9	40570	38	30	DDL	CIF	Imediato	5 dias	Concluido	Sim		
2060	8	Pc	4	Colher pedreiro nº 6	11.9	47.6	40570	38	30	DDL	CIF	Imediato	5 dias	Concluido	Sim		
2060	9	Pc	6	Colher pedreiro nº 8	14.9	89.4	40570	38	30	DDL	CIF	Imediato	5 dias	Concluido	Sim		
2060	10	Pc	6	Brocha quadrada	2.9	17.4	40570	38	30	DDL	CIF	Imediato	5 dias	Concluido	Sim		
2060	11	Pc	20	Lamina serra manual - Starret	3.9	78	40570	38	30	DDL	CIF	Imediato	5 dias	Concluido	Sim		
2060	12	Pc	2	Trena aço 3 metros - Starret	12	24	40570	38	30	DDL	CIF	Imediato	5 dias	Concluido	Sim		
2060	13	Pc	4	Linha pedreiro	2.5	10	40570	38	30	DDL	CIF	Imediato	5 dias	Concluido	Sim		
2060	14	Pc	3	Troques armador	19	57	40570	38	30	DDL	CIF	Imediato	5 dias	Concluido	Não		
2060	15	Pc	1	"Serrote 22"""	42.9	42.9	40570	38	30	DDL	CIF	Imediato	5 dias	Concluido	Não		
2060	16	Pc	6	"Ponteira 12"" com proteção - Tramontina"	28.9	173.4	40570	38	30	DDL	CIF	Imediato	5 dias	Concluido	Sim		
2060	17	Pc	6	"Talhadeira 12"" com proteção - Tramontina "	28.9	173.4	40570	38	30	DDL	CIF	Imediato	5 dias	Concluido	Sim		
2013	1	Pc	1	Armário roupeiro aço 6 portas	689.5	689.5	40571	39	30	DDL	CIF	15 dias	5 dias	Fechado Parcial	Não	Riazor	
2013	2	Pc	1	Armário roupeiro aço 8 portas	895.9	895.9	40571	39	30	DDL	CIF	15 dias	5 dias	Fechado Parcial	Não	Riazor	
2013	3	Pc	1	"Chave para tubo 14"" (grifo) - Stanley"	82.9	82.9	40571	39	30	DDL	CIF	15 dias	5 dias	Fechado Parcial	Sim		
2013	1	Pc	2	Caixa ferramentas metal c/ 5 gavetas - Marcon	54.9	109.8	40575	40	30	DDL	CIF	Imediato	5 dias	Concluido	Sim		
2013	2	Pc	2	Cadeado 30 mm - Pado	10.9	21.8	40575	40	30	DDL	CIF	Imediato	5 dias	Concluido	Sim		
2013	3	Pc	5	"Alicate universal Isolado 8"" - Tramontina Pro"	29.9	149.5	40575	40	30	DDL	CIF	Imediato	5 dias	Concluido	Sim		
2013	4	Pc	1	Pé de cabra	13.9	13.9	40575	40	30	DDL	CIF	Imediato	5 dias	Concluido	Sim		
2013	5	Pc	5	Martelo carpinteiro 25 mm 	41.4	207	40575	40	30	DDL	CIF	Imediato	5 dias	Concluido	Sim		
2013	6	Pc	5	Grampeador manual Stanley	49.5	247.5	40575	40	30	DDL	CIF	Imediato	5 dias	Concluido	Não		
2013	7	Pc	3	Tesoura para uso geral 	11.9	35.7	40575	40	30	DDL	CIF	Imediato	5 dias	Concluido	Não		
2013	8	Pc	2	Marreta 1 kg - Tramontina Pro	39.5	79	40575	40	30	DDL	CIF	Imediato	5 dias	Concluido	Sim		
2013	9	Pc	5	Trena aço 5 metros - Starret	12	60	40575	40	30	DDL	CIF	Imediato	5 dias	Concluido	Sim		
2057	1	PC	1	Paquimetro 200mm Digimes	160	160	40575	41	30 Dias	DDL	CIF	Imediata	5 Dias	Concluido	Sim		
2057	2	PC	1	Suporte para pastilha Knux esquerda	130	130	40575	41	30 Dias	DDL	CIF	Imediata	5 Dias	Concluido	Sim		
2057	3	PC	4	Pastilha Knux esquerda	25	100	40575	41	30 Dias	DDL	CIF	Imediata	5 Dias	Concluido	Sim		
2057	4	PC	1	"Escareador 90º - 8,3 x 50 ( Raio 45º )"	42.9	42.9	40575	41	30 Dias	DDL	CIF	Imediata	5 Dias	Concluido	Sim		
2057	5	PC	1	Broca A.R 15mm Izar	120.5	120.5	40575	41	30 Dias	DDL	CIF	Imediata	5 Dias	Concluido	Sim		
2057	6	PC	1	Broca A.R 5/8 (16mm) Vonder	69.7	69.7	40575	41	30 Dias	DDL	CIF	Imediata	5 Dias	Concluido	Sim		
2057	7	PC	1	Broca A.R 19mm Dormer	198.5	198.5	40575	41	30 Dias	DDL	CIF	Imediata	5 Dias	Concluido	Sim		
2057	8	LT	5	Óleo Soluvel	14.4	72	40575	41	30 Dias	DDL	CIF	Imediata	5 Dias	Concluido	Sim		
2057	9	LT	5	Óleo refrigerante para Retifica	14.4	72	40575	41	30 Dias	DDL	CIF	Imediata	5 Dias	Concluido	Sim		
2057	10	PC	1	"Jogo Macho A.R 5 x 0,8 OSG"	99.9	99.9	40575	41	30 Dias	DDL	CIF	Imediata	5 Dias	Concluido	Sim		
2057	11	PC	1	Jogo Macho A.R 6 x 1 OSG	106.9	106.9	40575	41	30 Dias	DDL	CIF	Imediata	5 Dias	Concluido	Sim		
2057	12	PC	2	Rebolo para Widia 6 x 1 Grana 100	63.9	127.8	40575	41	30 Dias	DDL	CIF	Imediata	5 Dias	Concluido	Sim		
2057	13	PC	2	Pedra Para Esmeril	38.9	77.8	40575	41	30 Dias	DDL	CIF	Imediata	5 Dias	Concluido	Sim		
2005	1	PC	1	BATERIA 	845	845	40581	42	46 dias 	DDL	CIF	75 dias 	10 dias 	Em Aberto	Não		
2005	1	PC	1	"THS7BAT:BATTERY PACK; RECHARGEABLE NICD, FOR THS700 SERIES"	845	845	40581	43	46 dias 	DDL	CIF	75 dias 	10 dias 	Em Aberto	Não		
2044	1	PC	1	martelete	10	10	40587	44	24	DDL	FOB	25 dias	40603	Concluido	Sim		NF 43 -  Ferramentas Gedore do Brasil S.A
2053	1	PC	100	parafusos	2	200	40587	45	13	DDL	FOB	13	40603	Concluido	Sim		
2053	2	CX	1000	prego	0.49	490	40587	45	13	DDL	FOB	13	40603	Concluido	Não		NF 39 -  Casa do Lojista Atac. Mat. Const. Ltda
2015	1	PC	2	martelo	2	4	40586	46	23	DDL	CIF	20 dias	40603	Concluido	Sim		
2015	2	CX	100	prego	0.4	40	40586	46	23	DDL	CIF	20 dias	40603	Concluido	Não		NF 42 -  Marcon Industria Metalurgica Ltda 
2081	1	pc	1	teste	5	5	40589	47	20	DDL	CIF	10 dias	40603	Concluido	Sim		
2007	1	PC	90	teste2	9	810	40589	48	2	DDL	CIF	4 dias	40603	Concluido	Sim		
2007	2	cx	100	teste2	0.1	10	40589	48	2	DDL	CIF	4 dias	40603	Concluido	Não		NF 5 -  Tramontina Sudeste S.A
2089	1	PC	1	Teste 	10	10	40590	49	30 dias 	DDL	CIF	10 dias 	10 dias 	Concluido	Sim	5555	
2091	1	PC	1	"Trena ultrasonic Makita a laser  de 0,6mm a 15MT"	259	259	40590	50	A combinar	DDL	CIF	Imediato	5Dias	Concluido	Sim		
2091	2	PC	1	Trena 10MT Vonder c/ ponta imantada	39.9	39.9	40590	50	A combinar	DDL	CIF	Imediato	5Dias	Concluido	Sim		
2091	3	PC	1	Prumo de centro 300 Gr	27.9	27.9	40590	50	A combinar	DDL	CIF	Imediato	5Dias	Concluido	Sim		
2091	4	PC	1	"Esquadro 12"" Stanley"	61	61	40590	50	A combinar	DDL	CIF	Imediato	5Dias	Concluido	Sim		
2091	5	PC	1	Riscador tipo caneta 	21.9	21.9	40590	50	A combinar	DDL	CIF	Imediato	5Dias	Concluido	Sim		
2091	6	PC	1	Calibre de rosca 	35.9	35.9	40590	50	A combinar	DDL	CIF	Imediato	5Dias	Concluido	Sim		
2091	7	MT	15	Mangueira de nivel 1/2	2.2	33	40590	50	A combinar	DDL	CIF	Imediato	5Dias	Concluido	Sim		
2058	1	PC	1	Propulsora pneumatica para tambor 200 kg - completa - Lumagi 	1320	1320	40590	51	28 dias 	DDL	CIF	10 dias 	10 dias 	Preço desacordo	Não		
2013	1	p c	1	Soquete estriado Tramontina 9/16 x 1/2	15.9	15.9	40590	52	a Combinar	DDL	CIF	Imediata	5 Dias	Concluido			
2013	1	Pc	1	Soquete 1/2 x 1/2	13.5	13.5	40590	53	30	DDL	CIF	Imediato	5 dias	Concluido	Sim		
2013	1	PC	1	Jg chave allen abaulada (pol) - GEDORE	95.9	95.9	40590	54	35 dias	DDL	CIF	10 dias	5 dias	Fechado Parcial	Sim		
2013	2	PC	1	Jg chave allen (mm) - GEDORE	98.5	98.5	40590	54	35 dias	DDL	CIF	10 dias	5 dias	Fechado Parcial	Sim		
2013	3	PC	1	"Jg soquete 1/4 - 1.1/4"" (encaixe 1/2"") - Gedore"	448.9	448.9	40590	54	35 dias	DDL	CIF	10 dias	5 dias	Fechado Parcial	Sim		
2013	4	PC	1	Catraca reversível mod 3293U-10 - Gedore	1059.9	1059.9	40590	54	35 dias	DDL	CIF	10 dias	5 dias	Fechado Parcial	Sim		
2013	5	PC	1	Arco de serra para metais mod. 403B - Gedore	79.9	79.9	40590	54	35 dias	DDL	CIF	10 dias	5 dias	Fechado Parcial	Sim		
2013	6	PC	1	Martelo tipo bola c/ cabo de madeira mod. 8601 - Gedore	118.5	118.5	40590	54	35 dias	DDL	CIF	10 dias	5 dias	Fechado Parcial	Sim		
2013	7	PC	1	"Chave p/ tubos (grifo) 10"" - Gedore"	79.9	79.9	40590	54	35 dias	DDL	CIF	10 dias	5 dias	Fechado Parcial	Sim		
2013	8	PC	1	"Chave ajustável (inglesa) 10"""	73.5	73.5	40590	54	35 dias	DDL	CIF	10 dias	5 dias	Fechado Parcial	Sim		
2013	9	PC	2	Alavanca espátula mod. 38A-18 - Gedore	92.8	185.6	40590	54	35 dias	DDL	CIF	10 dias	5 dias	Fechado Parcial	Sim		
2013	10	PC	1	Catraca p/ soquetes mod. 1993Z-94 - Gedore	69.9	69.9	40590	54	35 dias	DDL	CIF	10 dias	5 dias	Fechado Parcial	Sim		
2013	11	PC	1	Jg saca pino - Gedore	95.9	95.9	40590	54	35 dias	DDL	CIF	10 dias	5 dias	Fechado Parcial	Sim		
2013	12	PC	1	Jg chave fenda - Gedore	46.5	46.5	40590	54	35 dias	DDL	CIF	10 dias	5 dias	Fechado Parcial	Sim		
2013	13	PC	1	Alicate pressão mod. 137-10 - Gedore	49.9	49.9	40590	54	35 dias	DDL	CIF	10 dias	5 dias	Fechado Parcial	Sim		
2013	14	PC	1	Carrinho p/ carga mod. TM7 - Marcon	298	298	40590	54	35 dias	DDL	CIF	10 dias	5 dias	Fechado Parcial	Sim		
2013	15	PC	1	Paquímetro 150mm - Mitutoyo	254.5	254.5	40590	54	35 dias	DDL	CIF	10 dias	5 dias	Fechado Parcial	Sim		
2013	16	PC	1	Talhadeira	55.5	55.5	40590	54	35 dias	DDL	CIF	10 dias	5 dias	Fechado Parcial	Sim		
2013	17	PC	1	Caixa ferramenta mod. 1335 - Gedore	289.9	289.9	40590	54	35 dias	DDL	CIF	10 dias	5 dias	Fechado Parcial	Sim		
2013	18	PC	1	Alicate universal mod. 8280 - Gedore	75.4	75.4	40590	54	35 dias	DDL	CIF	10 dias	5 dias	Fechado Parcial	Sim		
2013	19	PC	1	Jg soquete mod. 19KM - Gedore	415.9	415.9	40590	54	35 dias	DDL	CIF	10 dias	5 dias	Fechado Parcial	Sim		
2013	20	PC	1	Alicate corte diagopnal mod. 8314 - Gedore	58.9	58.9	40590	54	35 dias	DDL	CIF	10 dias	5 dias	Fechado Parcial	Sim		
2013	21	PC	1	Alicate anéis mod. 8000-J3	59.9	59.9	40590	54	35 dias	DDL	CIF	10 dias	5 dias	Fechado Parcial	Sim		
2013	22	PC	1	Alicate anéis mod. 8000-J4	79.9	79.9	40590	54	35 dias	DDL	CIF	10 dias	5 dias	Fechado Parcial	Sim		
2013	23	PC	1	Alicate anéis mod. 8000-A2	39.9	39.9	40590	54	35 dias	DDL	CIF	10 dias	5 dias	Fechado Parcial	Sim		
2013	24	PC	1	Alicate anéis mod. 8000-J2	39.9	39.9	40590	54	35 dias	DDL	CIF	10 dias	5 dias	Fechado Parcial	Sim		
2013	25	PC	1	Alicate anéis mod. 8000-A21	45.5	45.5	40590	54	35 dias	DDL	CIF	10 dias	5 dias	Fechado Parcial	Sim		
2013	26	PC	1	Alicate anéis mod. 8000-J21	45.5	45.5	40590	54	35 dias	DDL	CIF	10 dias	5 dias	Fechado Parcial	Sim		
2013	27	PC	1	Alicate anéis mod. 8000-J1	85.5	85.5	40590	54	35 dias	DDL	CIF	10 dias	5 dias	Fechado Parcial	Sim		
2013	1	PC	1	Jg chave allen abaulada (mm) - Gedore	95.9	95.9	40590	55	35 dias	DDL	CIF	10 dias	5 dias	Concluido	Sim		
2013	2	PC	1	Jg chave combinada 6 a 32 - Tramontina Pro	239.9	239.9	40590	55	35 dias	DDL	CIF	10 dias	5 dias	Concluido	Sim		
2013	3	PC	1	Jg chave combinada 1/4 a 1.1/4 - Tramontina Pro	259.9	259.9	40590	55	35 dias	DDL	CIF	10 dias	5 dias	Concluido	Sim		
2013	4	PC	1	Bedame 5/8 x 6	32.7	32.7	40590	55	35 dias	DDL	CIF	10 dias	5 dias	Concluido	Sim		
2013	5	PC	1	"Talhadeira com empunhadura 12"" - Tramontina Pro"	29.9	29.9	40590	55	35 dias	DDL	CIF	10 dias	5 dias	Concluido	Sim		
2013	6	PC	1	Soquete 1/2 x 1.3/16	18.9	18.9	40590	55	35 dias	DDL	CIF	10 dias	5 dias	Concluido	Sim		
2013	7	PC	1	Soquete 3/4 x 1.1/2	36.9	36.9	40590	55	35 dias	DDL	CIF	10 dias	5 dias	Concluido	Sim		
2013	8	PC	1	Soquete 3/4 x 1.5/8	41.9	41.9	40590	55	35 dias	DDL	CIF	10 dias	5 dias	Concluido	Sim		
2008	1	JG	1	"Macho 12 x 1,5 - jogo com 3 peças "	50.1	50.1	40590	56	35 dias 	DDL	CIF	Imediato	10 dias 	Concluido	Sim		
2088	1	Pc	1	"Exaustor 500 mm, monofásico - E50 - M6"	868.9	868.9	40590	57	30	DDL	CIF	15 dias	5 dias	Concluido	Não		
2033	1	Pc	2	Trena aço 3 metros - Lufkin	6.5	13	40590	58	15	DDL	CIF	Imediato	5 dias	Concluido	Sim		
2012	1	Pc	1	Trena profissional digital 15 mts - UML 15 - Makita	259.9	259.9	40591	59	30	DDL	CIF	Imediato	5 dias	Preço desacordo	Sim		
2053	1	Jg	1	"Jogo macho 12 x 1,25 - King Tools"	59	59.2	40591	60	30	DDL	CIF	Imediato	5 dias	Concluido	Sim		
2053	2	Jg	1	Jogo macho 7/16 x 20 UNF - OSG	87	89.8	40591	60	30	DDL	CIF	Imediato	5 dias	Concluido	Sim		
2037	1	Pc	1	"Alicate universal 8"" - Vonder Plus"	28.8	28.8	40591	61	30	DDL	CIF	7 dias	5 dias	Concluido	Sim		
2013	1	Pc	15	Cadeado haste longa 35 x 70 - Pado	18.9	283.5	40591	62	30	DDL	CIF	Imediato	5 dias	Fechado Parcial	Sim		
2092	1	Pc	1	Carro plataforma com pneu e câmara - Marcon	729.9	398.5	40591	63	30	DDL	CIF	Imediato	5 dias	Concluido	Sim		
2092	2	Pc	2	Serrote para drywall - Vonder	37.9	75.8	40591	63	30	DDL	CIF	Imediato	5 dias	Concluido	Sim		
2092	3	Pc	20	Par de luvas com tato emborrachado	6.9	136	40591	63	30	DDL	CIF	Imediato	5 dias	Concluido	Sim		
2092	4	Pc	1	Bebedouro de água pressão 220 volts	749.9	0	40591	63	30	DDL	CIF	Imediato	5 dias	Concluido	Sim		
2013	1	Pc	10	Cone sinalização preto/amarelo 75 cm	35.5	355	40591	64	30	DDL	CIF	Imediato	5 dias	Concluido	Sim		
2005	1	PC	1	"Esmerilhadeira angular 14,4 volts - Makita"	1151	1151	40591	65	46 dias	DDL	CIF	15 dias	5 dias	Em Aberto	Não		
2005	2	PC	1	"Lanterna GLI 14,4 volts - Bosch"	250	250	40591	65	46 dias	DDL	CIF	15 dias	5 dias	Em Aberto	Não		
2088	1	Pc	1	Resistência aletada 5 KW	549.9	549.9	40591	66	30	DDL	CIF	15 dias	5 dias	Preço desacordo	Não		
2088	2	Pc	1	Resistência aletada 15 KW	579.8	579.8	40591	66	30	DDL	CIF	15 dias	5 dias	Preço desacordo	Não		
2047	1	PC	1	Régua p/ pedreiro 3 metros de alumínio	25	25	40592	67	30 dias	DDL	CIF	Imediato a 3 dias	5 dias	Concluido	Sim		
2047	2	PC	2	Régua p/ pedreiro 2 metros de alumínio	17.24	34.48	40592	67	30 dias	DDL	CIF	Imediato a 3 dias	5 dias	Concluido	Sim		
2047	3	MTS	20	"Mangueira de nível 3/8"""	1.95	39	40592	67	30 dias	DDL	CIF	Imediato a 3 dias	5 dias	Concluido	Não		
2047	4	CX	1	Lápis de carpinteiro (caixa com 50 lápis)	50	50	40592	67	30 dias	DDL	CIF	Imediato a 3 dias	5 dias	Concluido	Sim		
2047	5	PC	1	"Peneira de encosto 1,00 X 1,80 m (L x C)"	115	115	40592	67	30 dias	DDL	CIF	Imediato a 3 dias	5 dias	Concluido	Não		
2047	6	PC	5	Colher de pedreiro nº 8.	13.4	67	40592	67	30 dias	DDL	CIF	Imediato a 3 dias	5 dias	Concluido	Não		
2047	7	PC	10	Balde p/ carregar concreto	16	160	40592	67	30 dias	DDL	CIF	Imediato a 3 dias	5 dias	Concluido	Não		
2047	8	PC	1	"Broca A.R. haste cônica 1.5/8"""	687	687	40592	67	30 dias	DDL	CIF	Imediato a 3 dias	5 dias	Concluido	Não		
2047	9	PC	1	"Broca A.R. haste cônica 25,4mm (1"")"	254	254	40592	67	30 dias	DDL	CIF	Imediato a 3 dias	5 dias	Concluido	Não		
2047	10	PC	2	"Broca A.R. 9/16"""	56.9	113.8	40592	67	30 dias	DDL	CIF	Imediato a 3 dias	5 dias	Concluido	Sim		
2047	11	PC	2	"Broca A.R. 3/8"""	23	46	40592	67	30 dias	DDL	CIF	Imediato a 3 dias	5 dias	Concluido	Não		
2047	12	PC	2	"Broca A.R. 1/4"""	9	18	40592	67	30 dias	DDL	CIF	Imediato a 3 dias	5 dias	Concluido	Sim		
2015	1	Pc	3	"Esmerilhadeira Bosch 7"" - modelo 1751"	658.75	1976.25	40592	68	30	DDL	CIF	10 dias	5 dias	Preço desacordo	Não		
2015	2	Pc	6	"Esmerilhadeira Bosch 4.1/2"" - modelo 1388"	310.7	1864.2	40592	68	30	DDL	CIF	10 dias	5 dias	Preço desacordo	Não		
2028	1	Pc	5	Rebolo widia 6 x 3/4 - grana 100	39.9	199.5	40595	69	30	DDL	CIF	Imediato	5 dias	Preço desacordo	Sim		
2005	1	PC	1	Relogio comparador King Tools 	120	120	40596	70	30 dias 	DDL	CIF	Imediato 	10 dias 	Em Aberto	Sim		
2093	1	Pc	1	Serra circular Makita - 5007MG	611.9	611.9	40595	71	30	DDL	CIF	10 dias	5 dias	Preço desacordo	Não		
2093	2	Pc	1	Serra marmore Makita 4100NH	360	360	40595	71	30	DDL	CIF	10 dias	5 dias	Preço desacordo	Não		
2094	1	Pc	8	Alicate pressão soldador - Tramontina Pro	69	552	40596	72	28	DDL	CIF	Imediato	5 dias	Concluido	Sim		
2060	1	Pc	1	Motor trifásico 1 cv 4 pólos 1730 rpm	469.5	469.5	40596	73	30	DDL	CIF	10 dias	5 dias	Preço desacordo	Não		
2008	1	PC	16	Clips para cabo aço 3/4 	21.75	348	40596	74	35 dias 	DDL	CIF	Imediato	10 dias 	Em Aberto	Sim		
